source,dataset,mechanism,severity,seed,status,validation_passed,achieved_rate,conditioning_feature,validation_details_raw,effective_sample_fraction,degenerate_resample
cleanml,Airbnb,covariate,0.025,1,OK,True,"{'psi_pc1_score': 0.005971836232213961, 'psi_top_feature': 0.004757693502113679}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.005971836232213961, 'psi_top_feature': 0.004757693502113679, 'effective_sample_size': 9899.700983752244, 'effective_sample_fraction': 0.9954450461289335, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9954450461289335,False
cleanml,Airbnb,covariate,0.025,2,OK,True,"{'psi_pc1_score': 0.003769389419548667, 'psi_top_feature': 0.004089763340074157}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.003769389419548667, 'psi_top_feature': 0.004089763340074157, 'effective_sample_size': 9899.700983752244, 'effective_sample_fraction': 0.9954450461289335, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9954450461289335,False
cleanml,Airbnb,covariate,0.025,3,OK,True,"{'psi_pc1_score': 0.00535269068264577, 'psi_top_feature': 0.004646568407539172}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.00535269068264577, 'psi_top_feature': 0.004646568407539172, 'effective_sample_size': 9899.700983752244, 'effective_sample_fraction': 0.9954450461289335, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9954450461289335,False
cleanml,Airbnb,covariate,0.025,4,OK,True,"{'psi_pc1_score': 0.003736021093812085, 'psi_top_feature': 0.0032708216356450662}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.003736021093812085, 'psi_top_feature': 0.0032708216356450662, 'effective_sample_size': 9899.700983752244, 'effective_sample_fraction': 0.9954450461289335, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9954450461289335,False
cleanml,Airbnb,covariate,0.025,5,OK,True,"{'psi_pc1_score': 0.006686434203059927, 'psi_top_feature': 0.006621260168444719}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.006686434203059927, 'psi_top_feature': 0.006621260168444719, 'effective_sample_size': 9899.700983752244, 'effective_sample_fraction': 0.9954450461289335, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9954450461289335,False
cleanml,Airbnb,covariate,0.05,1,OK,True,"{'psi_pc1_score': 0.019661956977449855, 'psi_top_feature': 0.01558589094636251}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.019661956977449855, 'psi_top_feature': 0.01558589094636251, 'effective_sample_size': 9772.17490237859, 'effective_sample_fraction': 0.9826219107469674, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9826219107469674,False
cleanml,Airbnb,covariate,0.05,2,OK,True,"{'psi_pc1_score': 0.013815960873221528, 'psi_top_feature': 0.01135547525234954}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.013815960873221528, 'psi_top_feature': 0.01135547525234954, 'effective_sample_size': 9772.17490237859, 'effective_sample_fraction': 0.9826219107469674, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9826219107469674,False
cleanml,Airbnb,covariate,0.05,3,OK,True,"{'psi_pc1_score': 0.01641598697240929, 'psi_top_feature': 0.015368738011164881}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.01641598697240929, 'psi_top_feature': 0.015368738011164881, 'effective_sample_size': 9772.17490237859, 'effective_sample_fraction': 0.9826219107469674, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9826219107469674,False
cleanml,Airbnb,covariate,0.05,4,OK,True,"{'psi_pc1_score': 0.014046010396624163, 'psi_top_feature': 0.013684639938151815}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.014046010396624163, 'psi_top_feature': 0.013684639938151815, 'effective_sample_size': 9772.17490237859, 'effective_sample_fraction': 0.9826219107469674, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9826219107469674,False
cleanml,Airbnb,covariate,0.05,5,OK,True,"{'psi_pc1_score': 0.019160478850606778, 'psi_top_feature': 0.01648372497109246}",PC1(top_loading=pop2010),"{'pc1_top_loading_feature': 'pop2010', 'psi_pc1_score': 0.019160478850606778, 'psi_top_feature': 0.01648372497109246, 'effective_sample_size': 9772.17490237859, 'effective_sample_fraction': 0.9826219107469674, 'degenerate_resample': False, 'excluded_from_pc1': None, 'conditional_label_preserved_by_construction': True, 'note': ""P(Y|X) unchanged because resampling preserves each row's own (x,y) pairing.""}",0.9826219107469674,False
