source,dataset,mechanism,severity,seed,status,validation_passed,achieved_rate,excluded_columns
cleanml,Airbnb,gaussian,0.05,1.0,OK,True,"{'NumReviews': 9.229361487918807, 'Price': 23.331341181230755, 'latitude': 0.06511167806542972, 'longitude': 1.1332932836397258, 'zipcode': 3381218.815084728}",
cleanml,Airbnb,gaussian,0.05,2.0,OK,True,"{'NumReviews': 9.34830643501098, 'Price': 23.50799441615244, 'latitude': 0.0678407388405637, 'longitude': 1.1260555220422885, 'zipcode': 3262971.235741013}",
cleanml,Airbnb,gaussian,0.05,3.0,OK,True,"{'NumReviews': 9.328313290506005, 'Price': 23.376303423771656, 'latitude': 0.06585553318145351, 'longitude': 1.1391773605239388, 'zipcode': 3308424.177997606}",
cleanml,Airbnb,gaussian,0.1,1.0,OK,True,"{'NumReviews': 36.91744595167523, 'Price': 93.32536472492302, 'latitude': 0.2604467122617189, 'longitude': 4.533173134558903, 'zipcode': 13524875.260338912}",
cleanml,Airbnb,gaussian,0.1,2.0,OK,True,"{'NumReviews': 37.39322574004392, 'Price': 94.03197766460976, 'latitude': 0.2713629553622548, 'longitude': 4.504222088169154, 'zipcode': 13051884.942964053}",
cleanml,Airbnb,gaussian,0.1,3.0,OK,True,"{'NumReviews': 37.313253162024026, 'Price': 93.50521369508662, 'latitude': 0.263422132725814, 'longitude': 4.556709442095756, 'zipcode': 13233696.711990424}",
cleanml,Airbnb,gaussian,0.15,1.0,OK,True,"{'NumReviews': 83.06425339126923, 'Price': 209.98207063107665, 'latitude': 0.5860051025888673, 'longitude': 10.199639552757533, 'zipcode': 30430969.335762545}",
cleanml,Airbnb,gaussian,0.15,2.0,OK,True,"{'NumReviews': 84.13475791509877, 'Price': 211.57194974537185, 'latitude': 0.610566649565073, 'longitude': 10.134499698380596, 'zipcode': 29366741.121669117}",
cleanml,Airbnb,gaussian,0.15,3.0,OK,True,"{'NumReviews': 83.95481961455403, 'Price': 210.3867308139448, 'latitude': 0.5926997986330813, 'longitude': 10.252596244715452, 'zipcode': 29775817.60197844}",
cleanml,Airbnb,gaussian,0.2,1.0,OK,True,"{'NumReviews': 147.6697838067009, 'Price': 373.3014588996921, 'latitude': 1.0417868490468756, 'longitude': 18.132692538235613, 'zipcode': 54099501.04135565}",
cleanml,Airbnb,gaussian,0.2,2.0,OK,True,"{'NumReviews': 149.57290296017567, 'Price': 376.127910658439, 'latitude': 1.085451821449019, 'longitude': 18.016888352676617, 'zipcode': 52207539.77185622}",
cleanml,Airbnb,gaussian,0.2,3.0,OK,True,"{'NumReviews': 149.25301264809613, 'Price': 374.0208547803465, 'latitude': 1.0536885309032564, 'longitude': 18.22683776838302, 'zipcode': 52934786.847961694}",
cleanml,Airbnb,gaussian,0.25,1.0,OK,True,"{'NumReviews': 230.7340371979701, 'Price': 583.2835295307688, 'latitude': 1.6277919516357429, 'longitude': 28.332332090993145, 'zipcode': 84530470.37711819}",
cleanml,Airbnb,gaussian,0.25,2.0,OK,True,"{'NumReviews': 233.70766087527443, 'Price': 587.6998604038108, 'latitude': 1.696018471014092, 'longitude': 28.151388051057214, 'zipcode': 81574280.89352532}",
cleanml,Airbnb,gaussian,0.25,3.0,OK,True,"{'NumReviews': 233.2078322626501, 'Price': 584.4075855942913, 'latitude': 1.6463883295363375, 'longitude': 28.479434013098476, 'zipcode': 82710604.44994013}",
cleanml,Airbnb,categorical_swap,0.05,1.0,OK,True,"{'Bathrooms': 0.05087983911513323, 'Bedrooms': 0.05279034690799397, 'Beds': 0.05067873303167421, 'LocationName': 0.04947209653092006, 'NumGuests': 0.05027652086475616}",
cleanml,Airbnb,categorical_swap,0.05,2.0,OK,True,"{'Bathrooms': 0.04856711915535445, 'Bedrooms': 0.0473604826546003, 'Beds': 0.0489693313222725, 'LocationName': 0.048265460030165915, 'NumGuests': 0.05620915032679739}",
cleanml,Airbnb,categorical_swap,0.05,3.0,OK,True,"{'Bathrooms': 0.05590749120160885, 'Bedrooms': 0.04645550527903469, 'Beds': 0.050477626948215185, 'LocationName': 0.05118149824032177, 'NumGuests': 0.05168426344896933}",
cleanml,Airbnb,categorical_swap,0.1,1.0,OK,True,"{'Bathrooms': 0.10055304172951232, 'Bedrooms': 0.102061337355455, 'Beds': 0.09582704876822525, 'LocationName': 0.10226244343891402, 'NumGuests': 0.10387129210658623}",
cleanml,Airbnb,categorical_swap,0.1,2.0,OK,True,"{'Bathrooms': 0.10407239819004525, 'Bedrooms': 0.10065359477124183, 'Beds': 0.10045248868778281, 'LocationName': 0.10336852689793866, 'NumGuests': 0.10085470085470086}",
cleanml,Airbnb,categorical_swap,0.1,3.0,OK,True,"{'Bathrooms': 0.10829562594268477, 'Bedrooms': 0.09763700351935646, 'Beds': 0.1012569130216189, 'LocationName': 0.10718954248366012, 'NumGuests': 0.10276520864756158}",
cleanml,Airbnb,categorical_swap,0.15,1.0,OK,True,"{'Bathrooms': 0.15153343388637505, 'Bedrooms': 0.15284062342885874, 'Beds': 0.14560080442433385, 'LocationName': 0.14901960784313725, 'NumGuests': 0.15374560080442434}",
cleanml,Airbnb,categorical_swap,0.15,2.0,OK,True,"{'Bathrooms': 0.1551533433886375, 'Bedrooms': 0.14821518350930116, 'Beds': 0.15052790346907993, 'LocationName': 0.1525389643036702, 'NumGuests': 0.15324283559577678}",
cleanml,Airbnb,categorical_swap,0.15,3.0,OK,True,"{'Bathrooms': 0.15625942684766214, 'Bedrooms': 0.14590246354952238, 'Beds': 0.1526395173453997, 'LocationName': 0.15625942684766214, 'NumGuests': 0.15635997988939165}",
cleanml,Airbnb,categorical_swap,0.2,1.0,OK,True,"{'Bathrooms': 0.199798893916541, 'Bedrooms': 0.20744092508798392, 'Beds': 0.19648064353946706, 'LocationName': 0.19406737053795878, 'NumGuests': 0.19939668174962294}",
