source,dataset,mechanism,severity,seed,status,validation_passed,achieved_rate,conditioning_feature,validation_details_raw,asymmetry_ratio,ratio_source
cleanml,Airbnb,uniform,0.01,1,OK,True,{'Rating': 0.010155857214680744},,"{'achieved_flip_rate': 0.010155857214680744, 'target_flip_rate': 0.01, 'tolerance_used': 0.0034920724700021055, 'n_flipped': 101}",,
cleanml,Airbnb,uniform,0.01,2,OK,True,{'Rating': 0.010356963298139768},,"{'achieved_flip_rate': 0.010356963298139768, 'target_flip_rate': 0.01, 'tolerance_used': 0.0034920724700021055, 'n_flipped': 103}",,
cleanml,Airbnb,uniform,0.01,3,OK,True,{'Rating': 0.011563599798893917},,"{'achieved_flip_rate': 0.011563599798893917, 'target_flip_rate': 0.01, 'tolerance_used': 0.0034920724700021055, 'n_flipped': 115}",,
cleanml,Airbnb,uniform,0.01,4,OK,True,{'Rating': 0.01085972850678733},,"{'achieved_flip_rate': 0.01085972850678733, 'target_flip_rate': 0.01, 'tolerance_used': 0.0034920724700021055, 'n_flipped': 108}",,
cleanml,Airbnb,uniform,0.01,5,OK,True,{'Rating': 0.01045751633986928},,"{'achieved_flip_rate': 0.01045751633986928, 'target_flip_rate': 0.01, 'tolerance_used': 0.0034920724700021055, 'n_flipped': 104}",,
cleanml,Airbnb,uniform,0.02,1,OK,True,{'Rating': 0.021417797888386124},,"{'achieved_flip_rate': 0.021417797888386124, 'target_flip_rate': 0.02, 'tolerance_used': 0.004913530840368859, 'n_flipped': 213}",,
cleanml,Airbnb,uniform,0.02,2,OK,True,{'Rating': 0.019909502262443438},,"{'achieved_flip_rate': 0.019909502262443438, 'target_flip_rate': 0.02, 'tolerance_used': 0.004913530840368859, 'n_flipped': 198}",,
cleanml,Airbnb,uniform,0.02,3,OK,True,{'Rating': 0.02091503267973856},,"{'achieved_flip_rate': 0.02091503267973856, 'target_flip_rate': 0.02, 'tolerance_used': 0.004913530840368859, 'n_flipped': 208}",,
cleanml,Airbnb,uniform,0.02,4,OK,True,{'Rating': 0.02001005530417295},,"{'achieved_flip_rate': 0.02001005530417295, 'target_flip_rate': 0.02, 'tolerance_used': 0.004913530840368859, 'n_flipped': 199}",,
cleanml,Airbnb,uniform,0.02,5,OK,True,{'Rating': 0.022222222222222223},,"{'achieved_flip_rate': 0.022222222222222223, 'target_flip_rate': 0.02, 'tolerance_used': 0.004913530840368859, 'n_flipped': 221}",,
cleanml,Airbnb,uniform,0.03,1,OK,True,{'Rating': 0.032076420311714426},,"{'achieved_flip_rate': 0.032076420311714426, 'target_flip_rate': 0.03, 'tolerance_used': 0.00598703979864239, 'n_flipped': 319}",,
cleanml,Airbnb,uniform,0.03,2,OK,True,{'Rating': 0.03036701860231272},,"{'achieved_flip_rate': 0.03036701860231272, 'target_flip_rate': 0.03, 'tolerance_used': 0.00598703979864239, 'n_flipped': 302}",,
cleanml,Airbnb,uniform,0.03,3,OK,True,{'Rating': 0.027551533433886374},,"{'achieved_flip_rate': 0.027551533433886374, 'target_flip_rate': 0.03, 'tolerance_used': 0.00598703979864239, 'n_flipped': 274}",,
cleanml,Airbnb,uniform,0.03,4,OK,True,{'Rating': 0.029160382101558573},,"{'achieved_flip_rate': 0.029160382101558573, 'target_flip_rate': 0.03, 'tolerance_used': 0.00598703979864239, 'n_flipped': 290}",,
cleanml,Airbnb,uniform,0.03,5,OK,True,{'Rating': 0.03257918552036199},,"{'achieved_flip_rate': 0.03257918552036199, 'target_flip_rate': 0.03, 'tolerance_used': 0.00598703979864239, 'n_flipped': 324}",,
cleanml,Airbnb,uniform,0.04,1,OK,True,{'Rating': 0.038210155857214684},,"{'achieved_flip_rate': 0.038210155857214684, 'target_flip_rate': 0.04, 'tolerance_used': 0.006877510511047045, 'n_flipped': 380}",,
cleanml,Airbnb,uniform,0.04,2,OK,True,{'Rating': 0.04072398190045249},,"{'achieved_flip_rate': 0.04072398190045249, 'target_flip_rate': 0.04, 'tolerance_used': 0.006877510511047045, 'n_flipped': 405}",,
cleanml,Airbnb,uniform,0.04,3,OK,True,{'Rating': 0.040925087983911514},,"{'achieved_flip_rate': 0.040925087983911514, 'target_flip_rate': 0.04, 'tolerance_used': 0.006877510511047045, 'n_flipped': 407}",,
cleanml,Airbnb,uniform,0.04,4,OK,True,{'Rating': 0.038813474107591756},,"{'achieved_flip_rate': 0.038813474107591756, 'target_flip_rate': 0.04, 'tolerance_used': 0.006877510511047045, 'n_flipped': 386}",,
cleanml,Airbnb,uniform,0.04,5,OK,True,{'Rating': 0.03619909502262444},,"{'achieved_flip_rate': 0.03619909502262444, 'target_flip_rate': 0.04, 'tolerance_used': 0.006877510511047045, 'n_flipped': 360}",,
cleanml,Airbnb,uniform,0.05,1,OK,True,{'Rating': 0.05077928607340372},,"{'achieved_flip_rate': 0.05077928607340372, 'target_flip_rate': 0.05, 'tolerance_used': 0.0076491372818351215, 'n_flipped': 505}",,
cleanml,Airbnb,uniform,0.05,2,OK,True,{'Rating': 0.047561588738059324},,"{'achieved_flip_rate': 0.047561588738059324, 'target_flip_rate': 0.05, 'tolerance_used': 0.0076491372818351215, 'n_flipped': 473}",,
cleanml,Airbnb,uniform,0.05,3,OK,True,{'Rating': 0.05087983911513323},,"{'achieved_flip_rate': 0.05087983911513323, 'target_flip_rate': 0.05, 'tolerance_used': 0.0076491372818351215, 'n_flipped': 506}",,
cleanml,Airbnb,uniform,0.05,4,OK,True,{'Rating': 0.05178481649069885},,"{'achieved_flip_rate': 0.05178481649069885, 'target_flip_rate': 0.05, 'tolerance_used': 0.0076491372818351215, 'n_flipped': 515}",,
cleanml,Airbnb,uniform,0.05,5,OK,True,{'Rating': 0.051080945198592256},,"{'achieved_flip_rate': 0.051080945198592256, 'target_flip_rate': 0.05, 'tolerance_used': 0.0076491372818351215, 'n_flipped': 508}",,
cleanml,Airbnb,uniform,0.06,1,OK,True,{'Rating': 0.06294620412267471},,"{'achieved_flip_rate': 0.06294620412267471, 'target_flip_rate': 0.06, 'tolerance_used': 0.008334992293392962, 'n_flipped': 626}",,
cleanml,Airbnb,uniform,0.06,2,OK,True,{'Rating': 0.05801910507792861},,"{'achieved_flip_rate': 0.05801910507792861, 'target_flip_rate': 0.06, 'tolerance_used': 0.008334992293392962, 'n_flipped': 577}",,
cleanml,Airbnb,uniform,0.06,3,OK,True,{'Rating': 0.05952740070387129},,"{'achieved_flip_rate': 0.05952740070387129, 'target_flip_rate': 0.06, 'tolerance_used': 0.008334992293392962, 'n_flipped': 592}",,
cleanml,Airbnb,uniform,0.06,4,OK,True,{'Rating': 0.06264454499748617},,"{'achieved_flip_rate': 0.06264454499748617, 'target_flip_rate': 0.06, 'tolerance_used': 0.008334992293392962, 'n_flipped': 623}",,
