source,dataset,mechanism,severity,seed,status,validation_passed,achieved_rate,excluded_columns
cleanml,Airbnb,mcar,0.05,1,OK,True,"{'Bathrooms': 0.050477626948215185, 'Bedrooms': 0.052187028657616895, 'Beds': 0.04967320261437908, 'NumGuests': 0.05077928607340372, 'NumReviews': 0.048768225238813474}",
cleanml,Airbnb,mcar,0.05,2,OK,True,"{'Bathrooms': 0.048366013071895426, 'Bedrooms': 0.04947209653092006, 'Beds': 0.04987430869783811, 'NumGuests': 0.04675716440422323, 'NumReviews': 0.05460030165912519}",
cleanml,Airbnb,mcar,0.05,3,OK,True,"{'Bathrooms': 0.0563097033685269, 'Bedrooms': 0.048768225238813474, 'Beds': 0.051080945198592256, 'NumGuests': 0.05299145299145299, 'NumReviews': 0.052187028657616895}",
cleanml,Airbnb,mcar,0.1,1,OK,True,"{'Bathrooms': 0.10105580693815988, 'Bedrooms': 0.1028657616892911, 'Beds': 0.09743589743589744, 'NumGuests': 0.09974861739567623, 'NumReviews': 0.10296631473102061}",
cleanml,Airbnb,mcar,0.1,2,OK,True,"{'Bathrooms': 0.10236299648064354, 'Bedrooms': 0.10316742081447963, 'Beds': 0.10145801910507793, 'NumGuests': 0.10055304172951232, 'NumReviews': 0.10216189039718451}",
cleanml,Airbnb,mcar,0.1,3,OK,True,"{'Bathrooms': 0.10920060331825038, 'Bedrooms': 0.09643036701860232, 'Beds': 0.09894419306184012, 'NumGuests': 0.10377073906485672, 'NumReviews': 0.1084967320261438}",
cleanml,Airbnb,mcar,0.15,1,OK,True,"{'Bathrooms': 0.15123177476118652, 'Bedrooms': 0.15444947209653093, 'Beds': 0.14570135746606336, 'NumGuests': 0.14801407742584213, 'NumReviews': 0.15284062342885874}",
cleanml,Airbnb,mcar,0.15,2,OK,True,"{'Bathrooms': 0.15434891905480141, 'Bedrooms': 0.14962292609351432, 'Beds': 0.15123177476118652, 'NumGuests': 0.14891905480140774, 'NumReviews': 0.1525389643036702}",
cleanml,Airbnb,mcar,0.15,3,OK,True,"{'Bathrooms': 0.1576671694318753, 'Bedrooms': 0.14791352438411262, 'Beds': 0.14751131221719457, 'NumGuests': 0.15364504776269483, 'NumReviews': 0.159376571141277}",
cleanml,Airbnb,mcar,0.2,1,OK,True,"{'Bathrooms': 0.19929612870789343, 'Bedrooms': 0.20553041729512317, 'Beds': 0.19698340874811462, 'NumGuests': 0.19497234791352439, 'NumReviews': 0.2008044243338361}",
cleanml,Airbnb,mcar,0.2,2,OK,True,"{'Bathrooms': 0.20261437908496732, 'Bedrooms': 0.20020110608345904, 'Beds': 0.2024132730015083, 'NumGuests': 0.19648064353946706, 'NumReviews': 0.20110608345902464}",
cleanml,Airbnb,mcar,0.2,3,OK,True,"{'Bathrooms': 0.20462543991955756, 'Bedrooms': 0.19959778783308196, 'Beds': 0.1950729009552539, 'NumGuests': 0.20291603821015586, 'NumReviews': 0.21176470588235294}",
cleanml,Airbnb,mcar,0.25,1,OK,True,"{'Bathrooms': 0.24856711915535445, 'Bedrooms': 0.2559074912016088, 'Beds': 0.2433383609854198, 'NumGuests': 0.24464555052790346, 'NumReviews': 0.25098039215686274}",
cleanml,Airbnb,mcar,0.25,2,OK,True,"{'Bathrooms': 0.252991452991453, 'Bedrooms': 0.24746103569632982, 'Beds': 0.25349421820010054, 'NumGuests': 0.2433383609854198, 'NumReviews': 0.2480643539467069}",
cleanml,Airbnb,mcar,0.25,3,OK,True,"{'Bathrooms': 0.25681246857717444, 'Bedrooms': 0.24565108094519858, 'Beds': 0.24384112619406736, 'NumGuests': 0.25289089994972347, 'NumReviews': 0.25992961287078936}",
cleanml,Airbnb,mar,0.05,1,OK,True,"{'Bathrooms': 0.049773755656108594, 'Bedrooms': 0.05087983911513323, 'Beds': 0.05238813474107592, 'NumGuests': 0.050477626948215185, 'NumReviews': 0.051583710407239816}",
cleanml,Airbnb,mar,0.05,2,OK,True,"{'Bathrooms': 0.049974861739567625, 'Bedrooms': 0.05067873303167421, 'Beds': 0.0505781799899447, 'NumGuests': 0.04786324786324787, 'NumReviews': 0.0505781799899447}",
cleanml,Airbnb,mar,0.05,3,OK,True,"{'Bathrooms': 0.050477626948215185, 'Bedrooms': 0.05128205128205128, 'Beds': 0.0481649069884364, 'NumGuests': 0.051483157365510304, 'NumReviews': 0.04967320261437908}",
cleanml,Airbnb,mar,0.1,1,OK,True,"{'Bathrooms': 0.09934640522875816, 'Bedrooms': 0.09854198089492207, 'Beds': 0.10236299648064354, 'NumGuests': 0.1011563599798894, 'NumReviews': 0.10005027652086476}",
cleanml,Airbnb,mar,0.1,2,OK,True,"{'Bathrooms': 0.09974861739567623, 'Bedrooms': 0.10095525389643037, 'Beds': 0.10065359477124183, 'NumGuests': 0.09904474610356963, 'NumReviews': 0.09994972347913525}",
cleanml,Airbnb,mar,0.1,3,OK,True,"{'Bathrooms': 0.10326797385620914, 'Bedrooms': 0.10005027652086476, 'Beds': 0.10296631473102061, 'NumGuests': 0.10045248868778281, 'NumReviews': 0.1011563599798894}",
cleanml,Airbnb,mar,0.15,1,OK,True,"{'Bathrooms': 0.15012569130216188, 'Bedrooms': 0.151131221719457, 'Beds': 0.15012569130216188, 'NumGuests': 0.15072900955253896, 'NumReviews': 0.15274007038712922}",
cleanml,Airbnb,mar,0.15,2,OK,True,"{'Bathrooms': 0.14992458521870286, 'Bedrooms': 0.14821518350930116, 'Beds': 0.1524384112619407, 'NumGuests': 0.14982403217697335, 'NumReviews': 0.14871794871794872}",
cleanml,Airbnb,mar,0.15,3,OK,True,"{'Bathrooms': 0.15042735042735042, 'Bedrooms': 0.1519356460532931, 'Beds': 0.15062845651080944, 'NumGuests': 0.15143288084464554, 'NumReviews': 0.15213675213675212}",
cleanml,Airbnb,mar,0.2,1,OK,True,"{'Bathrooms': 0.1959778783308195, 'Bedrooms': 0.2023127199597788, 'Beds': 0.19748617395676218, 'NumGuests': 0.20191050779286074, 'NumReviews': 0.20140774258421318}",
cleanml,Airbnb,mar,0.2,2,OK,True,"{'Bathrooms': 0.20090497737556562, 'Bedrooms': 0.19627953745600804, 'Beds': 0.20412267471091, 'NumGuests': 0.1991955756661639, 'NumReviews': 0.19698340874811462}",
cleanml,Airbnb,mar,0.2,3,OK,True,"{'Bathrooms': 0.20100553041729513, 'Bedrooms': 0.20130718954248367, 'Beds': 0.1966817496229261, 'NumGuests': 0.20382101558572147, 'NumReviews': 0.20291603821015586}",
cleanml,Airbnb,mar,0.25,1,OK,True,"{'Bathrooms': 0.24705882352941178, 'Bedrooms': 0.253192559074912, 'Beds': 0.24776269482151836, 'NumGuests': 0.2512820512820513, 'NumReviews': 0.2513826043237808}",
cleanml,Airbnb,mar,0.25,2,OK,True,"{'Bathrooms': 0.2473604826546003, 'Bedrooms': 0.24625439919557568, 'Beds': 0.25359477124183005, 'NumGuests': 0.2441427853192559, 'NumReviews': 0.2496732026143791}",
cleanml,Airbnb,mar,0.25,3,OK,True,"{'Bathrooms': 0.25339366515837103, 'Bedrooms': 0.24947209653092006, 'Beds': 0.24625439919557568, 'NumGuests': 0.25198592257415786, 'NumReviews': 0.25369532428355956}",
cleanml,Airbnb,mnar,0.05,1,OK,True,"{'Bathrooms': 0.04856711915535445, 'Bedrooms': 0.04957264957264957, 'Beds': 0.05299145299145299, 'NumGuests': 0.047662141779788836, 'NumReviews': 0.0505781799899447}",
cleanml,Airbnb,mnar,0.05,2,OK,True,"{'Bathrooms': 0.05087983911513323, 'Bedrooms': 0.05178481649069885, 'Beds': 0.048768225238813474, 'NumGuests': 0.048868778280542986, 'NumReviews': 0.05208647561588738}",
cleanml,Airbnb,mnar,0.05,3,OK,True,"{'Bathrooms': 0.052187028657616895, 'Bedrooms': 0.04967320261437908, 'Beds': 0.049371543489190546, 'NumGuests': 0.05208647561588738, 'NumReviews': 0.051080945198592256}",
cleanml,Airbnb,mnar,0.1,1,OK,True,"{'Bathrooms': 0.09693313222724988, 'Bedrooms': 0.09773755656108597, 'Beds': 0.1036701860231272, 'NumGuests': 0.09944695827048768, 'NumReviews': 0.09803921568627451}",
cleanml,Airbnb,mnar,0.1,2,OK,True,"{'Bathrooms': 0.09834087481146304, 'Bedrooms': 0.1035696329813977, 'Beds': 0.10326797385620914, 'NumGuests': 0.09673202614379085, 'NumReviews': 0.10186023127199598}",
cleanml,Airbnb,mnar,0.1,3,OK,True,"{'Bathrooms': 0.10095525389643037, 'Bedrooms': 0.10105580693815988, 'Beds': 0.10075414781297135, 'NumGuests': 0.10055304172951232, 'NumReviews': 0.1012569130216189}",
cleanml,Airbnb,mnar,0.15,1,OK,True,"{'Bathrooms': 0.14741075917546506, 'Bedrooms': 0.1510306686777275, 'Beds': 0.15123177476118652, 'NumGuests': 0.15314228255404727, 'NumReviews': 0.14962292609351432}",
cleanml,Airbnb,mnar,0.15,2,OK,True,"{'Bathrooms': 0.14670688788335848, 'Bedrooms': 0.14871794871794872, 'Beds': 0.15354449472096532, 'NumGuests': 0.14731020613373555, 'NumReviews': 0.1520361990950226}",
cleanml,Airbnb,mnar,0.15,3,OK,True,"{'Bathrooms': 0.15304172951231776, 'Bedrooms': 0.14791352438411262, 'Beds': 0.15163398692810456, 'NumGuests': 0.15072900955253896, 'NumReviews': 0.14962292609351432}",
cleanml,Airbnb,mnar,0.2,1,OK,True,"{'Bathrooms': 0.1984917043740573, 'Bedrooms': 0.20311714429361488, 'Beds': 0.1967823026646556, 'NumGuests': 0.20482654600301659, 'NumReviews': 0.20020110608345904}",
cleanml,Airbnb,mnar,0.2,2,OK,True,"{'Bathrooms': 0.19829059829059828, 'Bedrooms': 0.19879336349924584, 'Beds': 0.2007038712921066, 'NumGuests': 0.19889391654097535, 'NumReviews': 0.20180995475113123}",
cleanml,Airbnb,mnar,0.2,3,OK,True,"{'Bathrooms': 0.2057315233785822, 'Bedrooms': 0.19557566616390146, 'Beds': 0.20130718954248367, 'NumGuests': 0.20563097033685268, 'NumReviews': 0.20382101558572147}",
cleanml,Airbnb,mnar,0.25,1,OK,True,"{'Bathrooms': 0.2513826043237808, 'Bedrooms': 0.252991452991453, 'Beds': 0.2464555052790347, 'NumGuests': 0.25118149824032177, 'NumReviews': 0.2497737556561086}",
cleanml,Airbnb,mnar,0.25,2,OK,True,"{'Bathrooms': 0.25449974861739566, 'Bedrooms': 0.24876822523881348, 'Beds': 0.2538964303670186, 'NumGuests': 0.24705882352941178, 'NumReviews': 0.2516842634489693}",
cleanml,Airbnb,mnar,0.25,3,OK,True,"{'Bathrooms': 0.2578179989944696, 'Bedrooms': 0.24655605832076422, 'Beds': 0.25037707390648567, 'NumGuests': 0.2538964303670186, 'NumReviews': 0.2564102564102564}",
cleanml,EEG,mcar,0.05,1,OK,True,"{'AF3': 0.05272525027808676, 'F7': 0.04538375973303671, 'F3': 0.05494994438264739, 'FC5': 0.04983314794215795, 'T7': 0.0525027808676307}",
cleanml,EEG,mcar,0.05,2,OK,True,"{'AF3': 0.04560622914349277, 'F7': 0.05050055617352614, 'F3': 0.05205784204671857, 'FC5': 0.04538375973303671, 'T7': 0.04872080088987764}",
cleanml,EEG,mcar,0.05,3,OK,True,"{'AF3': 0.0560622914349277, 'F7': 0.05784204671857619, 'F3': 0.04872080088987764, 'FC5': 0.05139043381535039, 'T7': 0.047163515016685205}",
cleanml,EEG,mcar,0.1,1,OK,True,"{'AF3': 0.1021134593993326, 'F7': 0.09566184649610679, 'F3': 0.10478309232480534, 'FC5': 0.10278086763070078, 'T7': 0.10300333704115684}",
cleanml,EEG,mcar,0.1,2,OK,True,"{'AF3': 0.09632925472747497, 'F7': 0.10767519466073415, 'F3': 0.10745272525027809, 'FC5': 0.09899888765294772, 'T7': 0.1003337041156841}",
cleanml,EEG,mcar,0.1,3,OK,True,"{'AF3': 0.11256952169076752, 'F7': 0.10878754171301445, 'F3': 0.09655172413793103, 'FC5': 0.09922135706340378, 'T7': 0.09410456062291435}",
cleanml,EEG,mcar,0.15,1,OK,True,"{'AF3': 0.15350389321468297, 'F7': 0.1446051167964405, 'F3': 0.15506117908787542, 'FC5': 0.15839822024471636, 'T7': 0.14972191323692993}",
cleanml,EEG,mcar,0.15,2,OK,True,"{'AF3': 0.15283648498331479, 'F7': 0.1557285873192436, 'F3': 0.15483870967741936, 'FC5': 0.14593993325917687, 'T7': 0.146384872080089}",
cleanml,EEG,mcar,0.15,3,OK,True,"{'AF3': 0.16062291434927697, 'F7': 0.15661846496106785, 'F3': 0.14905450500556172, 'FC5': 0.1492769744160178, 'T7': 0.14193548387096774}",
cleanml,EEG,mcar,0.2,1,OK,True,"{'AF3': 0.2040044493882091, 'F7': 0.19043381535038933, 'F3': 0.20600667408231368, 'FC5': 0.21268075639599554, 'T7': 0.1935483870967742}",
cleanml,EEG,mcar,0.2,2,OK,True,"{'AF3': 0.20489432703003338, 'F7': 0.20244716351501668, 'F3': 0.20155728587319244, 'FC5': 0.1971078976640712, 'T7': 0.1971078976640712}",
cleanml,EEG,mcar,0.2,3,OK,True,"{'AF3': 0.20667408231368187, 'F7': 0.20333704115684093, 'F3': 0.20244716351501668, 'FC5': 0.1995550611790879, 'T7': 0.18865406006674082}",
cleanml,EEG,mcar,0.25,1,OK,True,"{'AF3': 0.2531701890989989, 'F7': 0.23870967741935484, 'F3': 0.2556173526140156, 'FC5': 0.2649610678531702, 'T7': 0.2424916573971079}",
cleanml,EEG,mcar,0.25,2,OK,True,"{'AF3': 0.25873192436040043, 'F7': 0.24938820912124582, 'F3': 0.2471635150166852, 'FC5': 0.2471635150166852, 'T7': 0.24649610678531703}",
cleanml,EEG,mcar,0.25,3,OK,True,"{'AF3': 0.25761957730812013, 'F7': 0.2560622914349277, 'F3': 0.2525027808676307, 'FC5': 0.24582869855394884, 'T7': 0.23270300333704116}",
cleanml,EEG,mar,0.05,1,PARTIAL_SUCCESS,True,{'F7': 0.04827586206896552},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=0.0004, pval=0.9801"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0062, pval=0.6781"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0286, pval=0.0553"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0011, pval=0.9434""}"
cleanml,EEG,mar,0.05,2,PARTIAL_SUCCESS,True,{'F7': 0.048053392658509456},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0221, pval=0.1377"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0079, pval=0.5967"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0058, pval=0.6961"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=-0.0088, pval=0.5542""}"
cleanml,EEG,mar,0.05,3,PARTIAL_SUCCESS,True,{'F7': 0.05806451612903226},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=0.0083, pval=0.5788"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=0.0011, pval=0.9407"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=0.0048, pval=0.7482"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=-0.0132, pval=0.3779""}"
cleanml,EEG,mar,0.1,1,PARTIAL_SUCCESS,True,{'F7': 0.09744160177975528},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0166, pval=0.2651"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0229, pval=0.1241"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0026, pval=0.8641"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0113, pval=0.4499""}"
cleanml,EEG,mar,0.1,2,PARTIAL_SUCCESS,True,{'F7': 0.09988876529477198},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0028, pval=0.8497"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0080, pval=0.5902"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0051, pval=0.7347"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=-0.0045, pval=0.7643""}"
cleanml,EEG,mar,0.1,3,PARTIAL_SUCCESS,True,{'F7': 0.10745272525027809},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=0.0050, pval=0.7375"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=0.0066, pval=0.6581"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=0.0100, pval=0.5042"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0197, pval=0.1873""}"
cleanml,EEG,mar,0.15,1,PARTIAL_SUCCESS,True,{'F7': 0.14727474972191323},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0090, pval=0.5454"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0210, pval=0.1584"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=0.0030, pval=0.8393"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0159, pval=0.2853""}"
cleanml,EEG,mar,0.15,2,PARTIAL_SUCCESS,True,{'F7': 0.14905450500556172},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=0.0044, pval=0.7679"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=0.0064, pval=0.6678"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0068, pval=0.6464"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=-0.0073, pval=0.6224""}"
