source,dataset,mechanism_class,sub_mechanism,severity_level,severity_value,alpha_max_used,alpha_max_source,note
cleanml,Airbnb,missingness,mcar,1,0.00865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,2,0.0173,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,3,0.02595,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,4,0.0346,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,5,0.04325,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,6,0.0519,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,7,0.06055,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,8,0.0692,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,9,0.07785,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mcar,10,0.0865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,1,0.00865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,2,0.0173,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,3,0.02595,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,4,0.0346,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,5,0.04325,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,6,0.0519,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,7,0.06055,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,8,0.0692,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,9,0.07785,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mar,10,0.0865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,1,0.00865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,2,0.0173,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,3,0.02595,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,4,0.0346,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,5,0.04325,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,6,0.0519,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,7,0.06055,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,8,0.0692,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,9,0.07785,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,missingness,mnar,10,0.0865,0.0865,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,1,0.03,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,2,0.06,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,3,0.09,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,4,0.12,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,5,0.15,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,6,0.18,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,7,0.21,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,8,0.24,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,9,0.27,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,gaussian,10,0.3,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,categorical_swap,1,0.03,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,categorical_swap,2,0.06,0.3,corpus_wide_fixed_D4,
cleanml,Airbnb,feature_noise,categorical_swap,3,0.09,0.3,corpus_wide_fixed_D4,
